pattern_id,status,reason,start_time,end_time,cup_depth,cup_duration,handle_depth,handle_duration,r_squared_fit,breakout_candle_timestamp,volume_spike
1,valid,All rules passed,2024-01-01 16:15:00,2024-01-01 20:46:00,205.8000000000029,270,-742.0,50,0.9609658675357272,2024-01-01 20:46:00,True
2,valid,All rules passed,2024-01-01 18:15:00,2024-01-01 20:46:00,195.1999999999971,150,-372.90000000000146,50,0.9322965721243879,2024-01-01 20:46:00,False
3,valid,All rules passed,2024-01-01 18:25:00,2024-01-01 20:46:00,137.09999999999854,140,-451.70000000000437,50,0.9318083706206535,2024-01-01 20:46:00,False
4,valid,All rules passed,2024-01-01 20:13:00,2024-01-02 01:09:00,210.3000000000029,295,-935.0,41,0.9388723756255659,2024-01-02 01:09:00,True
5,valid,All rules passed,2024-01-01 20:45:00,2024-01-02 01:09:00,199.0,263,-834.5,41,0.9652096061293794,2024-01-02 01:09:00,True
6,valid,All rules passed,2024-01-01 22:01:00,2024-01-02 01:09:00,297.8000000000029,187,-1026.199999999997,41,0.9671914464244329,2024-01-02 01:09:00,True
7,valid,All rules passed,2024-01-01 23:33:00,2024-01-02 01:09:00,160.59999999999854,95,-600.4000000000015,41,0.9248999181715454,2024-01-02 01:09:00,True
8,valid,All rules passed,2024-01-02 00:33:00,2024-01-02 01:09:00,190.59999999999854,35,55.599999999998545,41,0.943166708368117,2024-01-02 01:09:00,True
9,valid,All rules passed,2024-01-02 04:15:00,2024-01-02 09:07:00,130.5,291,-228.6999999999971,37,0.899474912048169,2024-01-02 09:07:00,True
10,valid,All rules passed,2024-01-02 04:30:00,2024-01-02 09:07:00,192.59999999999854,276,-265.5,37,0.8997394425880421,2024-01-02 09:07:00,True
11,valid,All rules passed,2024-01-02 04:30:00,2024-01-02 09:07:00,249.1999999999971,276,-265.5,37,0.8997394425880421,2024-01-02 09:07:00,True
12,valid,All rules passed,2024-01-02 05:48:00,2024-01-02 09:07:00,182.0,198,-310.8999999999942,37,0.8997687408025017,2024-01-02 09:07:00,True
13,valid,All rules passed,2024-01-02 20:54:00,2024-01-02 22:20:00,315.40000000000146,85,42.400000000001455,26,0.869235021435613,2024-01-02 22:20:00,False
14,valid,All rules passed,2024-01-02 21:05:00,2024-01-02 22:11:00,166.5,65,-36.900000000001455,35,0.869616240652193,2024-01-02 22:11:00,True
15,valid,All rules passed,2024-01-02 23:25:00,2024-01-03 02:12:00,229.40000000000146,163,-168.59999999999854,9,0.8696428686558346,2024-01-03 02:12:00,False
16,valid,All rules passed,2024-01-03 01:22:00,2024-01-03 02:12:00,131.3000000000029,46,13.80000000000291,9,0.9048948597670199,2024-01-03 02:12:00,False
17,valid,All rules passed,2024-01-03 13:29:00,2024-01-03 16:30:00,154.29999999999563,180,-33.900000000001455,47,0.8669542472126693,2024-01-03 16:30:00,False
18,valid,All rules passed,2024-01-03 13:46:00,2024-01-03 16:30:00,272.59999999999854,163,-12.0,47,0.8819315230061512,2024-01-03 16:30:00,False
19,valid,All rules passed,2024-01-03 13:54:00,2024-01-03 16:30:00,125.0,155,-116.0,47,0.8853011598675898,2024-01-03 16:30:00,False
20,valid,All rules passed,2024-01-03 14:07:00,2024-01-03 16:30:00,357.59999999999854,142,-136.0,47,0.8854321454614836,2024-01-03 16:30:00,False
21,valid,All rules passed,2024-01-03 14:26:00,2024-01-03 16:30:00,179.8000000000029,123,-352.5,47,0.882589674337829,2024-01-03 16:30:00,False
22,valid,All rules passed,2024-01-03 14:31:00,2024-01-03 16:30:00,190.09999999999854,118,-324.90000000000146,47,0.8792960766295307,2024-01-03 16:30:00,False
23,valid,All rules passed,2024-01-03 14:44:00,2024-01-03 16:30:00,120.0,105,-220.0,47,0.8721261344571416,2024-01-03 16:30:00,False
24,valid,All rules passed,2024-01-03 14:49:00,2024-01-03 16:30:00,138.90000000000146,100,-255.0,47,0.8672297658355228,2024-01-03 16:30:00,False
25,valid,All rules passed,2024-01-03 14:55:00,2024-01-03 16:30:00,112.20000000000437,94,-301.6999999999971,47,0.8596927738825854,2024-01-03 16:30:00,False
26,valid,All rules passed,2024-01-03 15:27:00,2024-01-03 16:05:00,123.30000000000291,37,-316.6999999999971,35,0.8966581484799556,2024-01-03 16:05:00,True
27,valid,All rules passed,2024-01-03 15:34:00,2024-01-03 16:05:00,166.59999999999854,30,-271.0,35,0.9361271769869327,2024-01-03 16:05:00,True
28,valid,All rules passed,2024-01-04 00:37:00,2024-01-04 03:16:00,137.8000000000029,158,-8.099999999998545,47,0.8641436169425514,2024-01-04 03:16:00,False
29,valid,All rules passed,2024-01-04 01:01:00,2024-01-04 03:16:00,128.5,134,-17.599999999998545,47,0.8738792966543861,2024-01-04 03:16:00,False
30,valid,All rules passed,2024-01-04 01:14:00,2024-01-04 03:15:00,276.09999999999854,104,-112.20000000000437,36,0.8701291580877137,2024-01-04 03:15:00,True
